nameAlbum,idAlbum,typeAlbum,totalTracks,releaseDate,artist,idArtist
Giovani Wannabe,4Z93gEHbpIBqeNbIK337oA,single,1,2022-05-27,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
NEI SOGNI NESSUNO È MONOGAMO,3lWe6FOAIDAOjJoDIzu67e,album,12,2022-03-03,Dargen D'Amico,7muPB2GhV0sEg2K1Fgj0Xm
Brividi,06ZMpecsvvoHGWJHlc2St7,single,1,2022-02-02,"['Mahmood', 'BLANCO']","['06nvjg4wBANK6DCHjqtPNd', '1MRiIeZbc0cRuxOafDUCtH']"
Blu Celeste,7zFt7hLRPxemmlzVzg5uec,album,12,2021-09-09,BLANCO,1MRiIeZbc0cRuxOafDUCtH
TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,album,15,2021-11-30,Rkomi,056KMTw6IztdQjBmFfVyO3
BABY GODDAMN,6bOKRuocPC83OuQDrRIklj,single,1,2021-03-26,Tananai,35V1WomiedCJeGfupcPm7s
"NOI, LORO, GLI ALTRI",0rgggvSYGSms079nUlcAGX,album,14,2021-11-19,Marracash,5AZuEF0feCXMkUCwQiQlW7
AHIA!,0b2peKNz7zmn4xIxfPBUPa,album,7,2020-12-04,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
MI FAI IMPAZZIRE,59L5yJfDpvDFynmhe2QbYS,single,1,2021-06-17,"['BLANCO', 'Sfera Ebbasta']","['1MRiIeZbc0cRuxOafDUCtH', '23TFHmajVfBtlRx5MXqgoz']"
SIRIO,2v7KXdLrb81rGL9G7jwcjF,album,17,2022-04-07,Lazza,0jdNdfi4vAuVi7a6cPDFBM
La Vita Veramente,7fMZplj26uJA05g0wETUVf,album,9,2019-04-10,Fulminacci,1QeqGmpgU5Yg74GNcjIIq3
EUROVISION IN TURIN,07NKoMZh96HLCY7yviQrWn,single,1,2021-12-31,Eugenio In Via Di Gioia,1UtaXKnNyKhj0efXu2rD5t
Blu Celeste,7zFt7hLRPxemmlzVzg5uec,album,12,2021-09-09,BLANCO,1MRiIeZbc0cRuxOafDUCtH
s!r! (feat. Lazza & Sfera Ebbasta),3FKHKKhVw31wJoYybif80p,single,1,2022-07-15,"['thasup', 'Lazza', 'Sfera Ebbasta']","['19i93sA0D7yS9dYoVNBqAA', '0jdNdfi4vAuVi7a6cPDFBM', '23TFHmajVfBtlRx5MXqgoz']"
Shakerando,4ZF92wezwJWluQn4CQcXLJ,single,1,2021-12-15,Rhove,44DWomjW1oDuxIoBIRpmQ4
AHIA!,0b2peKNz7zmn4xIxfPBUPa,album,7,2020-12-04,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS
TAXI DRIVER,6et3LALeDMavQqtIn2AC3Z,album,38,2022-02-24,Rkomi,056KMTw6IztdQjBmFfVyO3
SIRIO,2v7KXdLrb81rGL9G7jwcjF,album,17,2022-04-07,Lazza,0jdNdfi4vAuVi7a6cPDFBM
ORO BLU,1lqbweQ3w6orHhehLOlZim,album,13,2022-03-04,Bresh,7FeObngbQ0GY3SojNwKdKn
Gemelli,2hHDTcf1MzvkDdFm0CEujn,album,13,2021-01-19,Ernia,3fhMfkPPzksWuw0hEm4ldm
dalla terra a marte,6z2qRqLEQN4vz1scFkRiyr,album,14,2022-02-18,rovere,5epzSn98pqluCq6hyGu3ux
