name,id,genre
Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS,"['bergamo indie', 'italian indie pop', 'italian pop', 'milan indie']"
Dargen D'Amico,7muPB2GhV0sEg2K1Fgj0Xm,"['italian hip hop', 'italian indie pop', 'italian pop', 'milan indie', 'r&b italiano']"
Mahmood,06nvjg4wBANK6DCHjqtPNd,['italian pop']
BLANCO,1MRiIeZbc0cRuxOafDUCtH,"['italian hip hop', 'italian pop']"
Rkomi,056KMTw6IztdQjBmFfVyO3,"['italian hip hop', 'italian pop']"
Elodie,7GgpsUpkj3olseoaTY7TEY,"['italian adult pop', 'italian pop']"
Tananai,35V1WomiedCJeGfupcPm7s,['italian indie pop']
Marracash,5AZuEF0feCXMkUCwQiQlW7,"['italian hip hop', 'italian underground hip hop', 'rap napoletano']"
Guè,7F2utINZ6tSokSiZTQBE27,['italian hip hop']
Sfera Ebbasta,23TFHmajVfBtlRx5MXqgoz,"['italian hip hop', 'italian pop', 'trap italiana', 'trap latino']"
Lazza,0jdNdfi4vAuVi7a6cPDFBM,"['italian hip hop', 'rap genovese', 'trap italiana']"
Takagi & Ketra,76UCIJTB0jcJvBaL0CdIqx,"['italian adult pop', 'italian pop']"
Fulminacci,1QeqGmpgU5Yg74GNcjIIq3,"['italian indie pop', 'rome indie']"
Eugenio In Via Di Gioia,1UtaXKnNyKhj0efXu2rD5t,"['indie folk italiano', 'italian indie pop', 'turin indie']"
thasup,19i93sA0D7yS9dYoVNBqAA,"['italian hip hop', 'italian pop', 'trap italiana']"
Rhove,44DWomjW1oDuxIoBIRpmQ4,"['italian hip hop', 'trap italiana']"
Bresh,7FeObngbQ0GY3SojNwKdKn,"['italian hip hop', 'italian indie pop', 'rap genovese']"
SHUNE,5YV5crRpcdknHgEzystZHr,['Without Genre']
Ernia,3fhMfkPPzksWuw0hEm4ldm,"['italian hip hop', 'italian pop', 'milan indie']"
rovere,5epzSn98pqluCq6hyGu3ux,['italian indie pop']
Il Pagante,1vKXVGgIDP1XXZX4Tehjtn,['italian pop']
Junior K,63pCdEiziMCDjGOdM1XCrJ,['Without Genre']
Fred De Palma,0QrUbsrL5imqntAfDl8i7q,['italian pop']
Capo Plaza,5SulO4l40qDuV9zUGLZx7n,"['italian hip hop', 'trap italiana']"
Fedez,3pgCLfNbw5ozIfoNsvDU7i,['italian pop']
Tedua,1AgAVqo74e2q4FVvg0xpT7,"['indie liguria', 'italian hip hop', 'rap genovese', 'trap italiana']"
Kaleb Di Masi,5U5wYVqrbD6J8SK4kNhau4,"['cumbia 420', 'rkt']"
Rvfv,2CCgb0KApjfQDuTppovpf8,"['drill espanol', 'flamenco urbano', 'urbano espanol', 'urbano latino']"
Omar Varela,5xIOUIBQhGFX7HIj8lhdyU,['gaming dubstep']
Willie Peyote,00CsjN69YCczmdW0bDKaCC,"['italian hip hop', 'italian indie pop', 'rap napoletano', 'turin indie']"
Mara Sattei,0zoMmzmyi8N8LwzhyXPvtk,"['italian hip hop', 'italian pop']"
James Hype,43BxCL6t4c73BQnIJtry5v,"['dance pop', 'deep groove house', 'house', 'pop dance', 'uk dance']"
Miggy Dela Rosa,45ruzGUmIr8WLjLOPJ9mGU,['dance pop']
sangiovanni,7dL0nOHwnSAsNAwpkPSGWP,['italian pop']
Salmo,3hBQ4zniNdQf1cqqo6hzuW,"['italian hip hop', 'italian underground hip hop', 'rap sardegna']"
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,"['dance pop', 'pop', 'pop rap']"
Shakira,0EmeFodog0BfCgMzAIvKQp,"['colombian pop', 'dance pop', 'latin pop']"
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
Gemelli Diversi,1rmR17cbB34R3cKheHJBDZ,"['europop', 'italian adult pop']"
Margherita Vicario,2UUqj8yIpJGSjEJgkL4IIY,"['italian indie pop', 'rome indie']"
Harry Styles,6KImCVD70vtIoJWnq6nGn3,['pop']
The Kolors,72A0Z8q8NiochyK9gUHpCR,"['italian adult pop', 'italian pop']"
Irama,5iot8OPcosJN9nCl7I5SdK,"['italian adult pop', 'italian pop']"
MACE,7gjqZ8coFZimZDtdk04WP1,"['funk carioca', 'italian hip hop', 'italian indie pop']"
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']"
Coez,5dXlc7MnpaTeUIsHLVe3n4,"['italian pop', 'rap napoletano', 'rome indie']"
Sick Luke,0hk4xVujcyOr6USD95wcWb,"['italian hip hop', 'italian indie pop', 'trap italiana']"
Lùnapop,4ZbsxiS90Pj1gLeDv3A9mN,"['classic italian pop', 'italian adult pop']"
BTS,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group']"
Fast Animals and Slow Kids,2n92OcdDhE5g2CpDI1rjH6,"['italian alternative', 'italian indie pop']"
Shiva,2K5nCggbhSZ00YCYP5qkZS,"['italian hip hop', 'trap italiana']"
Boomdabash,4mAsWDGLUIEdo6imU77WG6,"['italian adult pop', 'italian pop', 'italian reggae']"
Annalisa,0EqkKYDK9EkKY5N7zU3FPv,"['italian adult pop', 'italian pop']"
Calcutta ,582KhTHEVOONNQLmQ5612r,"['italian indie pop', 'rome indie']"
Cesare Cremonini,396Jr76018oUMR6QBnqT8T,"['classic italian pop', 'italian adult pop', 'italian indie pop']"
Crookers,3o1cwVQfiDWafhYA02k13C,['fidget house']
M¥SS KETA,594PwrFy2mmLueuUwUgoCM,['italian indie pop']
Ultimo,3hN3iJMbbBmqBSAMx5veDa,"['italian adult pop', 'italian pop']"
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'edm', 'pop', 'post-teen pop']"
Greg Willen,51ltJZ6rB893AdzgCxSOV3,['trap italiana']
Random,05kigUQCchmbJDmhDiYiS0,['italian pop']
Matteo Romano,5Imsy0ZXNi7uWLJpP5dZ8b,['Without Genre']
Nessuno,35ReHoGfnoTWT9lJJpEVkU,['Without Genre']
Urano,4boc9WGDp4rS4bObD8WtlU,['pop virale italiano']
GAYLE,2VSHKHBTiXWplO8lxcnUC9,['modern alternative pop']
Måneskin,0lAWpj5szCSwM4rUMHYmrr,"['indie rock italiano', 'italian pop']"
Rvssian,1fctva4kpRbg2k3v7kwRuS,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
Capital Cities,4gwpcMTbLWtBUlOijbVpuu,"['metropopolis', 'modern rock']"
Achille Lauro,0lI3rF4hi4op6UxqlLHPzv,"['italian hip hop', 'italian indie pop', 'italian pop']"
Gow Tribe,2dAKW1tsAariQ0Ta2gqp8N,['Without Genre']
Frenetik&Orang3,2lkP8239tkwRjg5N7d2D0w,"['italian hip hop', 'italian indie pop']"
Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,"['belgian edm', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,"['neo mellow', 'pop']"
La rappresentante di lista,0YmQyGKpZgGSDxsC8iEGQU,"['indie siciliano', 'italian indie pop']"
Bizarrap,716NhGYqD1jl2wI1Qkgq36,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
Quevedo,52iwsT98xCoGgiGntTiR7K,"['rap canario', 'urbano latino']"
PSICOLOGI,0fskdccy6fvnWMNMNPqEro,"['italian hip hop', 'rome indie']"
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Alfa,7GacyaFUp0qkEJglERX9N7,"['italian pop', 'pop virale italiano']"
Yanomi,6YgYCNwq3DkSXEd6kGxoZW,['Without Genre']
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'shiver pop']"
Jovanotti,7tmMPdOmFvdRvbj2aWoiRi,"['classic italian pop', 'italian adult pop', 'italian pop']"
Sixpm,1DqxHZcNsyQouEIgARx6Zx,['Without Genre']
Hidden Citizens,707cnVfI3ISM4j5uzfTc7J,"['bossbeat', 'epicore', 'modern alternative rock']"
ESSA,7pYmOZBwoka8sQcO4cABjb,['Without Genre']
Les Friction,6w3KIJjRhRR0yuABLt68Rz,['epicore']
Two Steps from Hell,2qvP9yerCZCS0U1gZU8wYp,"['epicore', 'orchestral soundtrack']"
Thomas Bergersen,6BF0bXbsdujMSMeFZBGcBq,"['epicore', 'soundtrack']"
Globus,2SrDoQLTZqsVi8Vg1UdHao,"['bow pop', 'epicore']"
NINJA TRACKS,6528Ex7vvaNcKo87nHri44,['epicore']
Josh Bruce Williams,1mppgMREHkTaso4wtgZSRb,['Without Genre']
Xtortion Audio,4mtNoMN4jglEdAWfrD5N9z,['epicore']
Astyria,2BgtLzBS8FjGC3P3kLCI76,['bossbeat']
Sound Adventures,0YdXfou4dLC8zsOn85D1GL,"['epicore', 'scorecore']"
X-Ray Dog,4GwtNddbBGWKxaquZyFFJG,['epicore']
Q-Factory by Robert Etoll,0wBSkYE9QLovAkVbXP9n8N,['epicore']
REMMI,14eQOEJwQwEFzqlaXuSMjf,['electropop']
Glory Oath + Blood,0lkwA8682c7T1ZSnOLe0lf,['epicore']
Robert Leslie Bennett,61HkEKXp6aQytKWbVBxAwp,['Without Genre']
Generdyn,5hapHjhxu0KGpkjz8GGGoO,"['bossbeat', 'rebel blues']"
Jaroslav Beck,2qaihH7C0RAiTnCDHYTkxY,['speedrun']
Efisio Cross,4AeQ7Pcq0mxxRuKjxDtvCk,['epicore']
