tracks,idTracks,artist,idArtist,nameAlbumTr,idAlbumTr,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Giovani Wannabe,7iLuBTHJSXM2HalKHFqEEy,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS,Giovani Wannabe,4Z93gEHbpIBqeNbIK337oA,0.739,0.81,11,-5.317,0,0.0311,0.0409,0.0,0.122,0.948,127.972,212967
Dove Si Balla,5a6ABzVhqgVKI1znaI9tar,Dargen D'Amico,7muPB2GhV0sEg2K1Fgj0Xm,NEI SOGNI NESSUNO È MONOGAMO,3lWe6FOAIDAOjJoDIzu67e,0.592,0.603,0,-5.403,1,0.0933,0.176,0.0,0.123,0.437,145.94,198082
Brividi,1ZMGp9MTXbtAPvcKa0U3zS,"['Mahmood', 'BLANCO']","['06nvjg4wBANK6DCHjqtPNd', '1MRiIeZbc0cRuxOafDUCtH']",Brividi,06ZMpecsvvoHGWJHlc2St7,0.523,0.614,7,-4.435,1,0.0347,0.448,0.0,0.254,0.342,122.962,199146
Finché Non Mi Seppelliscono,16EJNayKtC09M0Fi7Py47s,BLANCO,1MRiIeZbc0cRuxOafDUCtH,Blu Celeste,7zFt7hLRPxemmlzVzg5uec,0.727,0.833,4,-2.594,1,0.0316,0.349,0.0,0.232,0.86,130.024,168000
LA CODA DEL DIAVOLO (con ELODIE),6oYcyS6salzWI1ysjEScFh,"['Rkomi', 'Elodie']","['056KMTw6IztdQjBmFfVyO3', '7GgpsUpkj3olseoaTY7TEY']",TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,0.481,0.748,6,-6.007,0,0.356,0.132,7.77e-06,0.126,0.549,128.777,188975
BABY GODDAMN,3yWHQ4n4ARLDfYTuT2NhnN,Tananai,35V1WomiedCJeGfupcPm7s,BABY GODDAMN,6bOKRuocPC83OuQDrRIklj,0.819,0.764,10,-3.311,0,0.1,0.0317,2.73e-05,0.0579,0.885,114.033,149605
∞ LOVE (feat. Guè),0HhSB4nAJpI5expWnZL199,"['Marracash', 'Guè']","['5AZuEF0feCXMkUCwQiQlW7', '7F2utINZ6tSokSiZTQBE27']","NOI, LORO, GLI ALTRI",0rgggvSYGSms079nUlcAGX,0.726,0.828,7,-5.191,0,0.071,0.105,0.0,0.0873,0.307,125.002,218368
Pastello Bianco,0bKDQionn4VKcgNKbs4SWX,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS,AHIA!,0b2peKNz7zmn4xIxfPBUPa,0.546,0.652,0,-3.852,1,0.0339,0.451,0.0,0.123,0.378,139.875,236417
MI FAI IMPAZZIRE,1x3Qb8np6S1UvpSLthwEJN,"['BLANCO', 'Sfera Ebbasta']","['1MRiIeZbc0cRuxOafDUCtH', '23TFHmajVfBtlRx5MXqgoz']",MI FAI IMPAZZIRE,59L5yJfDpvDFynmhe2QbYS,0.477,0.844,11,-4.87,1,0.0458,0.00273,0.0,0.137,0.203,169.941,220235
PANICO (feat. Takagi & Ketra),0SsUOrXUM2gZxVLYizZfQZ,"['Lazza', 'Takagi & Ketra']","['0jdNdfi4vAuVi7a6cPDFBM', '76UCIJTB0jcJvBaL0CdIqx']",SIRIO,2v7KXdLrb81rGL9G7jwcjF,0.788,0.731,4,-6.082,0,0.047,0.0615,0.0,0.0997,0.258,127.03,188564
Tommaso,140mKM0QazbT10CiJL5vwZ,Fulminacci,1QeqGmpgU5Yg74GNcjIIq3,La Vita Veramente,7fMZplj26uJA05g0wETUVf,0.745,0.904,7,-3.35,1,0.0497,0.02,5.46e-05,0.345,0.733,150.11,157640
EUROVISION IN TURIN,3RcIrFXQznv7QwwCiKqL0V,Eugenio In Via Di Gioia,1UtaXKnNyKhj0efXu2rD5t,EUROVISION IN TURIN,07NKoMZh96HLCY7yviQrWn,0.659,0.477,9,-11.009,0,0.31,0.154,0.0,0.084,0.844,170.234,110100
Notti In Bianco,1PWOkqMORYdGa0OEh2GaXM,BLANCO,1MRiIeZbc0cRuxOafDUCtH,Blu Celeste,7zFt7hLRPxemmlzVzg5uec,0.599,0.79,6,-3.242,1,0.0422,0.359,0.0,0.105,0.693,75.004,176400
s!r! (feat. Lazza & Sfera Ebbasta),3gUzi41YOt3VExeyHSLsMj,"['thasup', 'Lazza', 'Sfera Ebbasta']","['19i93sA0D7yS9dYoVNBqAA', '0jdNdfi4vAuVi7a6cPDFBM', '23TFHmajVfBtlRx5MXqgoz']",s!r! (feat. Lazza & Sfera Ebbasta),3FKHKKhVw31wJoYybif80p,0.675,0.739,6,-4.603,0,0.0524,0.387,0.0,0.177,0.338,149.959,237701
Shakerando,4EC028SvtlC25iHQSG2OIa,Rhove,44DWomjW1oDuxIoBIRpmQ4,Shakerando,4ZF92wezwJWluQn4CQcXLJ,0.855,0.805,7,-5.651,0,0.191,0.764,0.00708,0.302,0.469,135.009,195556
Scrivile Scemo,71r3UlkV7sWvUYjas5paqi,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS,AHIA!,0b2peKNz7zmn4xIxfPBUPa,0.617,0.916,9,-3.538,1,0.0317,0.123,0.0,0.183,0.552,135.091,214926
INSUPERABILE,3nNxdeQX9iFeuosMcFEeDd,Rkomi,056KMTw6IztdQjBmFfVyO3,TAXI DRIVER,6et3LALeDMavQqtIn2AC3Z,0.667,0.848,4,-5.195,0,0.0851,0.0344,0.0,0.183,0.84,122.035,172462
USCITO DI GALERA,01DXwNf1GzEJkYTbXgL0eb,Lazza,0jdNdfi4vAuVi7a6cPDFBM,SIRIO,2v7KXdLrb81rGL9G7jwcjF,0.594,0.746,7,-5.853,0,0.137,0.188,0.0,0.0991,0.0802,164.231,172654
Angelina Jolie,2wDBnfPlixUHdqrS1HvpvY,"['Bresh', 'SHUNE']","['7FeObngbQ0GY3SojNwKdKn', '5YV5crRpcdknHgEzystZHr']",ORO BLU,1lqbweQ3w6orHhehLOlZim,0.658,0.628,7,-7.889,1,0.207,0.073,0.0,0.117,0.621,160.171,169546
Ferma A Guardare (feat. Pinguini Tattici Nucleari),1eDC4NiUYgQSKpKDIvXxi4,"['Ernia', 'Pinguini Tattici Nucleari']","['3fhMfkPPzksWuw0hEm4ldm', '6RdcIWVKYYzNzjQRd3oyHS']",Gemelli,2hHDTcf1MzvkDdFm0CEujn,0.585,0.724,9,-5.611,0,0.0967,0.445,0.0,0.1,0.547,162.05,213543
lupo,7iWj2iaIC6rZ13MC6yBeDH,rovere,5epzSn98pqluCq6hyGu3ux,dalla terra a marte,6z2qRqLEQN4vz1scFkRiyr,0.71,0.725,6,-6.397,0,0.183,0.146,0.0,0.112,0.786,87.933,180373
Settimana Bianca,5BqUbKq9rCMrCkRtAiz8XA,Il Pagante,1vKXVGgIDP1XXZX4Tehjtn,Paninaro 2.0,2LEpMzVOh7gvrOrQQBaMSN,0.695,0.898,2,-1.635,0,0.0907,0.0785,1.97e-05,0.21,0.55,126.046,160476
NUOVO RANGE (con SFERA EBBASTA),5YSR0sWUZk7NuIbkycxndu,"['Rkomi', 'Sfera Ebbasta', 'Junior K']","['056KMTw6IztdQjBmFfVyO3', '23TFHmajVfBtlRx5MXqgoz', '63pCdEiziMCDjGOdM1XCrJ']",TAXI DRIVER,4D04TN7Kw7Bq98kfDjUmgh,0.68,0.76,1,-4.866,0,0.0556,0.233,0.0,0.13,0.709,82.54,176773
Extasi,6ojrj2NSj3EkMm05yiuaMG,Fred De Palma,0QrUbsrL5imqntAfDl8i7q,Extasi,5D6d0m5tYnBz0wowzfLlQ6,0.859,0.776,0,-4.028,1,0.0749,0.0508,1.07e-06,0.0263,0.222,130.008,157846
Nostalgia,22gH5Qg5j5ZzF7LaR7Nrkj,BLANCO,1MRiIeZbc0cRuxOafDUCtH,Nostalgia,3WKUnE0tlqfep4jO5gyF3P,0.644,0.904,0,-3.749,1,0.0605,0.0372,0.0,0.0767,0.562,130.061,182308
Capri Sun,1XpmMe95dk9jh3zuOMpeU2,Capo Plaza,5SulO4l40qDuV9zUGLZx7n,Hustle Mixtape,6LmhYmD5q0vflzqQhkfeN1,0.683,0.852,0,-2.755,1,0.0636,0.0454,0.0,0.246,0.448,93.068,199680
SAPORE – with Tedua,6DWJhb5KfEbOOXlEcpqfh6,"['Fedez', 'Tedua']","['3pgCLfNbw5ozIfoNsvDU7i', '1AgAVqo74e2q4FVvg0xpT7']",DISUMANO,3kg7VTOPL8oFCHvMaYtsVU,0.76,0.692,5,-6.243,1,0.113,0.061,2.8e-06,0.303,0.482,125.041,195480
Hace Calor - Remix,3h043RAJ7tKaG1HDFeet6w,"['Kaleb Di Masi', 'Sfera Ebbasta', 'Rvfv', 'Omar Varela']","['5U5wYVqrbD6J8SK4kNhau4', '23TFHmajVfBtlRx5MXqgoz', '2CCgb0KApjfQDuTppovpf8', '5xIOUIBQhGFX7HIj8lhdyU']",Hace Calor (Remix),1ScrZWEue2DdYU8aj9AiSF,0.889,0.618,5,-5.124,0,0.0627,0.367,0.00438,0.105,0.444,130.021,247385
Aglio e olio,19yag4qL1J2lwjSSgwSXVG,"['Fulminacci', 'Willie Peyote']","['1QeqGmpgU5Yg74GNcjIIq3', '00CsjN69YCczmdW0bDKaCC']",Tante care cose e altri successi,7iECb2vZNSIWoHKxYZxHxG,0.735,0.529,11,-7.982,1,0.05,0.535,0.0,0.19,0.537,93.028,225827
CRAZY LOVE,2p5OyhSm5fS90n0Q7R3r6D,Marracash,5AZuEF0feCXMkUCwQiQlW7,"NOI, LORO, GLI ALTRI",0rgggvSYGSms079nUlcAGX,0.725,0.713,9,-5.958,0,0.0484,0.224,2.13e-05,0.104,0.392,123.003,192688
LA DOLCE VITA,27qYCnvju6ZMeeE6TtruIE,"['Fedez', 'Tananai', 'Mara Sattei']","['3pgCLfNbw5ozIfoNsvDU7i', '35V1WomiedCJeGfupcPm7s', '0zoMmzmyi8N8LwzhyXPvtk']",DISUMANO,3kg7VTOPL8oFCHvMaYtsVU,0.737,0.858,8,-3.589,1,0.0527,0.0124,0.0,0.382,0.919,144.991,187862
Ferrari,4zN21mbAuaD0WqtmaTZZeP,"['James Hype', 'Miggy Dela Rosa']","['43BxCL6t4c73BQnIJtry5v', '45ruzGUmIr8WLjLOPJ9mGU']",Ferrari,6moZ4sNThthUAwCklyuPY8,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,186662
Ringo Starr,5yfE6GXTuJaAlepKoE0wJE,Pinguini Tattici Nucleari,6RdcIWVKYYzNzjQRd3oyHS,Fuori dall'Hype Ringo Starr,56JsicBPrw88plclhKK74J,0.754,0.925,4,-2.912,0,0.0512,0.304,0.0,0.313,0.857,114.077,183333
farfalle,5HujDMiRNqZwEzVAh3oFD3,sangiovanni,7dL0nOHwnSAsNAwpkPSGWP,farfalle,1WCDSnckeIERycPR36vEiZ,0.733,0.784,3,-5.211,1,0.0606,0.0927,0.0,0.195,0.377,120.016,164000
SESSO OCCASIONALE,0Dz9zyx2w3zYtRK6yp3VKD,Tananai,35V1WomiedCJeGfupcPm7s,SESSO OCCASIONALE,51lcCxrqnkTxRLbmbL7KX6,0.647,0.857,0,-4.23,1,0.0654,0.00725,0.0,0.0608,0.659,130.007,195923
Brutte compagnie,0ZiogQxvS89G2OFRMXimOU,Fulminacci,1QeqGmpgU5Yg74GNcjIIq3,Tante care cose e altri successi,7iECb2vZNSIWoHKxYZxHxG,0.921,0.764,5,-5.778,0,0.0581,0.211,6.31e-06,0.309,0.918,122.968,189036
